Week,kaggle
2015-01-04,25
2015-01-11,20
2015-01-18,23
2015-01-25,47
2015-02-01,35
2015-02-08,33
2015-02-15,39
2015-02-22,50
2015-03-01,46
2015-03-08,25
2015-03-15,23
2015-03-22,44
2015-03-29,53
2015-04-05,47
2015-04-12,42
2015-04-19,34
2015-04-26,43
2015-05-03,23
2015-05-10,36
2015-05-17,39
2015-05-24,26
2015-05-31,59
2015-06-07,61
2015-06-14,52
2015-06-21,42
2015-06-28,34
2015-07-05,28
2015-07-12,44
2015-07-19,29
2015-07-26,34
2015-08-02,37
2015-08-09,36
2015-08-16,34
2015-08-23,38
2015-08-30,44
2015-09-06,34
2015-09-13,28
2015-09-20,58
2015-09-27,45
2015-10-04,30
2015-10-11,43
2015-10-18,39
2015-10-25,55
2015-11-01,53
2015-11-08,34
2015-11-15,43
2015-11-22,52
2015-11-29,45
2015-12-06,35
2015-12-13,60
2015-12-20,18
2015-12-27,25
2016-01-03,31
2016-01-10,45
2016-01-17,40
2016-01-24,52
2016-01-31,48
2016-02-07,54
2016-02-14,43
2016-02-21,62
2016-02-28,71
2016-03-06,70
2016-03-13,54
2016-03-20,52
2016-03-27,70
2016-04-03,54
2016-04-10,63
2016-04-17,46
2016-04-24,48
2016-05-01,42
2016-05-08,52
2016-05-15,42
2016-05-22,44
2016-05-29,48
2016-06-05,49
2016-06-12,45
2016-06-19,28
2016-06-26,43
2016-07-03,50
2016-07-10,55
2016-07-17,58
2016-07-24,48
2016-07-31,47
2016-08-07,36
2016-08-14,49
2016-08-21,39
2016-08-28,71
2016-09-04,45
2016-09-11,73
2016-09-18,59
2016-09-25,63
2016-10-02,48
2016-10-09,100
